timestamp_us,channel_0
6639034,13245
6640196,13266
6641359,13280
6642517,13289
6643678,13288
6644840,13278
6646001,13268
6647163,13260
6648324,13253
6649490,13249
6650647,13250
6651809,13254
6652970,13259
6654133,13264
6655293,13267
6656464,13270
6657616,13270
6658778,13275
6659939,13282
6661101,13292
6662262,13294
6663423,13286
6664585,13270
6665746,13253
6666908,13242
6668072,13240
6669233,13238
6670394,13234
6671556,13231
6672717,13221
6673879,13211
6675041,13206
6676201,13202
6677363,13203
6678524,13210
6679686,13228
6680847,13248
6682009,13266
6683171,13280
6684331,13288
6685494,13289
6686655,13281
6687815,13268
6688977,13252
6690138,13236
6691301,13224
6692461,13225
6693623,13243
6694785,13279
6695947,13328
6697113,13382
6698269,13435
6699432,13476
6700592,13498
6701756,13494
6702917,13465
6704081,13407
6705240,13332
6706402,13251
6707562,13178
6708724,13121
6709885,13085
6711046,13068
6712209,13075
6713377,13097
6714532,13131
6715693,13177
6716855,13224
6718016,13275
6719176,13321
6720338,13369
6721499,13409
6722661,13431
6723822,13433
6724984,13416
6726146,13389
6727307,13359
6728469,13327
6729631,13299
6730792,13271
6731952,13242
6733114,13221
6734275,13206
6735436,13204
6736599,13220
6737760,13250
6738923,13283
6740084,13308
6741244,13325
6742406,13329
6743573,13326
6744729,13318
6745890,13310
6747052,13302
6748213,13295
6749379,13288
6750536,13282
6751697,13276
6752860,13277
6754021,13281
6755184,13290
6756345,13300
6757510,13307
6758668,13320
6759828,13339
6760990,13357
6762151,13360
6763313,13355
6764475,13343
6765635,13326
6766797,13309
6767959,13292
6769120,13279
6770281,13265
6771444,13256
6772606,13253
6773767,13258
6774929,13270
6776090,13293
6777250,13323
6778412,13356
6779573,13387
6780738,13411
6781896,13420
6783059,13418
6784220,13394
6785381,13359
6786543,13314
6787707,13269
6788867,13227
6790028,13188
6791188,13166
6792349,13162
6793515,13168
6794672,13180
6795835,13204
6796997,13236
6798156,13266
6799319,13293
6800481,13319
6801641,13339
6802803,13353
6803964,13357
6805126,13353
6806287,13339
6807449,13325
6808610,13309
6809773,13291
6810933,13276
6812096,13267
6813258,13267
6814419,13276
6815578,13295
6816742,13326
6817902,13358
6819063,13386
6820225,13409
6821386,13427
6822548,13434
6823710,13429
6824871,13408
6826032,13382
6827193,13357
6828356,13337
6829523,13324
6830678,13316
6831839,13310
6833001,13308
6834163,13303
6835326,13299
6836489,13293
6837648,13286
6838809,13283
6839970,13292
6841133,13307
6842293,13328
6843454,13338
6844616,13341
6845777,13342
6846938,13342
6848100,13337
6849263,13333
6850423,13333
6851585,13333
6852748,13334
6853909,13333
6855070,13335
6856230,13340
6857392,13346
6858553,13356
