timestamp_us,channel_0
6812140,13087
6813301,13087
6814464,13095
6815625,13110
6816786,13132
6817948,13158
6819108,13184
6820270,13207
6821432,13225
6822593,13231
6823755,13230
6824917,13219
6826078,13205
6827239,13186
6828401,13164
6829562,13148
6830727,13146
6831885,13159
6833046,13180
6834208,13206
6835371,13228
6836534,13245
6837697,13261
6838855,13269
6840016,13272
6841179,13271
6842338,13258
6843501,13238
6844661,13220
6845823,13204
6846984,13188
6848146,13172
6849309,13157
6850469,13146
6851630,13148
6852792,13164
6853954,13183
6855114,13204
6856277,13225
6857439,13241
6858600,13256
6859760,13263
6860923,13270
6862083,13271
6863245,13264
6864406,13250
6865568,13228
6866729,13199
6867891,13167
6869054,13141
6870214,13123
6871376,13120
6872539,13127
6873698,13148
6874860,13175
6876023,13204
6877187,13234
6878344,13257
6879505,13271
6880668,13275
6881828,13272
6882992,13258
6884157,13235
6885313,13211
6886476,13183
6887638,13155
6888797,13127
6889959,13103
6891120,13094
6892283,13091
6893443,13102
6894604,13121
6895766,13148
6896927,13175
6898091,13197
6899252,13215
6900413,13224
6901575,13222
6902736,13212
6903896,13194
6905059,13169
6906220,13138
6907381,13103
6908542,13073
6909703,13057
6910865,13052
6912026,13061
6913190,13080
6914351,13112
6915512,13147
6916674,13176
6917833,13198
6918997,13209
6920158,13207
6921318,13193
6922480,13171
6923641,13149
6924803,13126
6925965,13104
6927127,13089
6928287,13083
6929451,13085
6930612,13098
6931773,13119
6932934,13148
6934095,13180
6935256,13214
6936418,13245
6937580,13265
6938741,13278
6939902,13279
6941064,13269
6942225,13247
6943394,13218
6944550,13180
6945711,13134
6946871,13086
6948033,13046
6949196,13018
6950355,13002
6951518,12999
6952679,13013
6953840,13038
6955001,13064
6956163,13086
6957324,13104
6958486,13118
6959647,13128
6960810,13137
6961971,13140
6963132,13134
6964295,13120
6965456,13097
6966616,13069
6967778,13038
6968939,13012
6970101,12999
6971262,13005
6972424,13027
6973585,13065
6974748,13109
6975909,13158
6977070,13199
6978233,13228
6979398,13241
6980554,13236
6981717,13216
6982877,13187
6984039,13159
6985200,13127
6986361,13098
6987523,13076
6988686,13060
6989847,13050
6991008,13047
6992171,13054
6993331,13069
6994492,13092
6995653,13118
6996815,13138
6997976,13155
6999138,13169
7000299,13181
7001460,13187
7002622,13181
7003785,13162
7004946,13142
7006107,13115
7007270,13090
7008431,13070
7009597,13060
7010753,13062
7011915,13081
7013077,13111
7014237,13150
7015403,13185
7016564,13215
7017723,13243
7018883,13261
7020045,13267
7021206,13264
7022368,13251
7023533,13232
7024690,13207
7025853,13178
7027014,13145
7028175,13119
7029337,13096
7030498,13083
7031661,13085
7032823,13097
7033983,13122
7035145,13148
7036305,13168
7037466,13184
7038629,13199
7039790,13208
7040951,13215
7042112,13216
7043275,13213
7044435,13206
7045597,13194
7046759,13176
7047921,13154
7049082,13136
7050245,13123
7051405,13121
7052567,13133
7053727,13154
7054889,13180
7056051,13208
7057214,13232
7058373,13251
7059537,13262
7060697,13270
7061859,13276
7063021,13278
7064181,13274
7065344,13260
7066505,13231
7067666,13194
7068827,13161
7069989,13136
