timestamp_us,channel_0
94808471,1
94809633,0
94810793,2
94811954,1
94813117,254
94814279,1568
94815439,3641
94816600,8303
94817762,18247
94818923,26144
94820086,26196
94821251,20630
94822408,5063
94823574,-1
94824732,-1
94825893,-2
94827054,-1
94828219,0
94829380,0
94830539,1
94831700,1
94832863,2
94834025,34
94835187,994
94836346,4043
94837509,12281
94838670,23831
94839831,26224
94840993,24408
94842154,11729
94843315,558
94844477,0
94845639,0
94846801,0
94847962,-1
94849123,-1
94850284,2
94851447,2
94852608,2
94853769,251
94854931,1555
94856092,3977
94857254,10352
94858415,21395
94859579,26225
94860740,25770
94861900,16085
94863062,2399
94864225,0
94865390,-1
94866545,-1
94867707,0
94868871,0
94870032,1
94871193,0
94872354,2
94873516,152
94874677,1314
94875839,3529
94877000,8977
94878162,19875
94879323,26221
94880484,26091
94881646,18147
94882807,2956
94883970,0
94885131,0
94886291,-1
94887455,0
94888616,-1
94889777,-1
94890938,1
94892099,1
94893260,2
94894422,72
94895583,1207
94896745,4751
94897906,13655
94899069,24553
94900231,26214
94901397,23196
94902553,9389
94903715,125
94904876,-1
94906038,-1
94907198,0
94908361,1
94909526,0
94910683,2
94911846,2
94913008,2
94914169,519
94915329,2029
94916493,4961
94917654,12464
94918814,23597
94919976,26238
94921137,25603
94922298,15459
94923460,2720
94924622,1
94925785,-1
94926946,-1
94928106,0
94929268,0
94930430,1
94931591,2
94932752,57
94933914,1054
94935075,2738
94936237,5366
94937398,11615
94938560,22546
94939723,26233
94940884,25587
94942045,15030
94943206,1291
94944367,-1
94945531,0
94946691,0
94947852,-2
94949013,0
94950179,0
94951337,1
94952500,1
94953660,2
94954822,142
94955983,1598
94957151,6035
94958305,16089
94959469,25780
94960629,26226
94961790,23398
94962952,10538
94964115,812
94965275,0
94966438,0
94967600,0
94968761,0
94969921,1
94971083,0
94972245,3
94973405,555
94974567,2071
94975729,4130
94976889,7901
94978053,16482
94979213,25702
94980376,26213
94981536,22217
94982699,6806
94983860,0
94985021,1
94986182,0
94987345,0
94988505,0
94989666,-1
94990829,0
94991989,1
94993152,1
94994313,2
94995474,310
94996638,2535
94997797,9320
94998959,21094
95000121,26231
95001284,25925
95002443,16988
95003605,3598
95004768,0
95005929,-1
95007090,0
95008251,0
95009414,0
95010575,2
95011735,1
95012897,5
95014058,764
95015220,2351
95016384,4898
95017543,10728
95018704,21681
95019867,26235
95021029,26198
95022189,20506
95023350,6398
95024512,1
95025674,-1
95026835,0
95027996,0
95029158,0
95030320,1
95031481,1
95032646,1
95033806,263
95034967,1592
95036128,3597
95037289,7814
95038451,17244
95039616,25942
95040774,26221
95041935,23199
95043098,9605
95044259,252
95045420,-1
95046581,0
95047744,-2
95048905,0
95050065,1
95051227,1
95052393,2
95053550,83
95054712,1135
95055873,3016
95057037,7354
95058196,17138
95059359,26102
95060519,26259
95061682,26178
95062843,19510
95064004,8498
95065166,1110
95066327,1
95067489,-1
95068650,1
95069811,1
95070972,2
95072134,323
95073296,1684
95074458,3568
95075621,5702
95076780,8338
95077943,14222
95079103,23928
95080265,26211
95081426,24798
95082588,12213
95083750,225
95084913,-1
95086074,0
95087234,-1
95088397,-2
95089558,-1
95090719,0
95091880,-1
95093042,1
95094203,1
95095365,2
95096530,653
95097688,4570
95098849,14055
95100012,24703
95101172,25736
95102335,16648
95103496,1907
95104657,-1
95105818,0
95106980,0
95108141,-1
95109304,0
95110464,-1
95111626,-1
95112789,1
95113950,1
95115111,2
95116272,507
95117436,3682
95118595,12377
95119757,23938
95120919,26196
95122079,23680
95123241,10276
95124403,260
95125566,0
95126727,-2
95127888,1
95129048,0
95130210,2
95131372,1
95132534,1
95133695,1
95134856,464
95136018,1930
95137179,4802
95138341,12062
95139504,23312
95140665,26237
95141825,25827
95142987,16375
95144148,3215
95145310,0
95146471,0
95147633,-1
95148794,-1
95149956,-1
95151117,1
95152279,1
95153440,7
95154602,782
95155767,2374
95156925,4845
95158086,10672
95159248,21571
95160409,26233
95161571,25732
95162732,15713
95163894,1558
95165059,0
95166217,0
95167384,0
95168543,0
95169739,0
95170864,-1
95172027,0
95173186,1
95174348,1
95175509,54
95176670,1461
95177832,5986
95178996,16398
95180155,25959
95181317,26198
95182480,20875
95183641,5451
95184802,0
95185964,0
95187125,-1
95188286,-1
95189447,-1
95190609,0
95191770,0
95192931,1
95194094,2
95195256,90
95196418,1142
95197579,4031
95198740,11935
95199901,23360
95201063,26227
95202224,24856
95203392,13120
95204546,1351
95205709,0
95206871,-1
95208033,0
95209195,-1
95210355,1
95211517,2
95212678,1
95213839,10
95215001,826
95216162,2423
95217324,4996
95218485,11362
95219647,22286
95220810,26233
95221971,25914
95223133,16817
95224294,3031
95225455,0
95226616,-1
95227777,0
95228938,0
95230100,1
95231262,0
95232423,3
95233585,3
95234748,244
95235908,1541
95237070,3650
95238232,8510
95239394,18572
95240555,26158
95241715,26182
95242877,20029
95244040,5347
95245200,0
95246361,0
95247528,-1
95248686,0
95249847,0
95251009,1
95252170,0
95253330,1
95254492,45
95255654,1000
95256816,3033
95257979,7863
95259140,18382
95260300,26193
95261463,26238
95262624,23902
95263785,10744
95264946,498
95266107,0
95267269,-1
95268430,0
95269592,-1
95270753,0
95271915,1
95273078,1
95274239,26
95275401,922
95276563,2631
95277723,5922
95278884,13832
95280045,24560
95281208,26227
95282371,24034
95283532,10405
95284691,102
95285853,0
95287016,-1
95288177,0
95289337,-1
95290500,1
95291662,-1
95292823,2
95293984,1
95295145,2
95296306,473
95297468,2534
95298629,8444
95299791,19698
95300952,26218
95302114,26134
95303276,19239
95304438,5454
95305599,1
95306760,-1
95307922,0
95309084,0
95310245,-1
95311407,1
95312568,1
95313731,2
95314893,565
95316053,2081
95317214,4341
95318376,9254
95319537,19467
95320699,26214
95321860,26223
95323022,22676
95324183,9180
95325346,316
95326506,0
95327669,1
95328830,0
95329991,0
95331152,0
95332314,2
95333475,1
95334637,384
95335798,1814
95336960,3857
95338121,7709
95339282,16493
95340444,25775
95341605,26244
95342768,25406
95343930,14927
95345090,3027
95346253,2
95347417,0
95348576,-1
95349736,1
95350898,1
95352059,2
95353221,3
95354384,462
95355545,1934
95356707,3864
95357868,6679
95359029,13345
95360191,23693
95361352,26237
95362513,25653
95363675,15471
95364836,2172
95365999,0
95367161,-1
95368321,-1
95369482,0
95370645,0
95371805,0
95372967,1
95374128,2
