timestamp_us,channel_0
134850849,26222
134852010,26188
134853171,26145
134854333,26054
134855494,25591
134856655,24185
134857815,22113
134858978,19686
134860139,17191
134861301,14841
134862462,12894
134863623,14785
134864785,22563
134865948,26246
134867108,26264
134868270,26262
134869432,26258
134870593,26237
134871756,26210
134872915,26182
134874076,26140
134875238,26039
134876400,25498
134877565,23965
134878723,21797
134879884,19340
134881046,16855
134882208,14535
134883370,14982
134884537,21920
134885692,26238
134886853,26265
134888017,26268
134889177,26265
134890338,26255
134891501,26240
134892663,26224
134893824,26208
134894984,26184
134896146,26148
134897309,26054
134898469,25498
134899630,23928
134900792,21783
134901953,19366
134903116,17897
134904276,21659
134905437,26185
134906601,26260
134907762,26264
134908922,26264
134910084,26247
134911247,26208
134912407,26171
134913568,26119
134914730,25951
134915891,25098
134917055,23370
134918215,21122
134919377,18637
134920537,16182
134921700,13940
134922870,12411
134924023,15913
134925183,24362
134926345,26225
134927509,26242
134928668,26233
134929830,26218
134930991,26188
134932154,26100
134933315,25755
134934476,24503
134935639,22602
134936799,20364
134937960,17934
134939121,15530
134940284,13368
134941445,11562
134942606,10229
134943770,12434
134944929,20630
134946092,26235
134947252,26263
134948416,26263
134949576,26252
134950738,26173
134951898,25926
134953060,24742
134954221,22816
134955384,20561
134956544,18185
134957706,15843
134958868,13668
134960030,11809
134961192,10373
134962352,9364
134963513,10772
134964676,18226
134965837,26093
134966998,26237
134968159,26239
134969323,26237
134970485,26221
134971644,26194
134972806,26176
134973967,26153
134975129,26120
134976291,25956
134977453,25060
134978613,23234
134979776,20933
134980937,18452
134982100,16012
134983259,14791
134984421,19229
134985582,25927
134986746,26259
134987906,26264
134989068,26261
134990229,26232
134991395,26148
134992551,25957
134993713,25009
134994874,23251
134996036,21088
134997197,18719
134998358,16315
134999521,14073
135000684,12144
135001843,10622
135003005,9954
135004168,14209
135005328,23586
135006490,26255
135007653,26264
135008813,26265
135009973,26257
135011137,26232
135012300,26208
135013460,26150
135014621,26106
135015783,25998
135016943,25392
135018105,23774
135019268,21560
135020427,19096
135021589,16624
135022751,14393
135023912,15663
135025074,22744
135026236,26244
135027399,26263
135028560,26267
135029720,26261
135030882,26238
135032043,26211
135033205,26180
135034366,26140
135035531,26040
135036689,25488
135037850,23938
135039013,21767
135040173,19312
135041335,16831
135042498,14482
135043659,14371
135044820,20082
135045980,26174
135047142,26261
135048304,26264
135049465,26260
135050627,26230
135051788,26185
135052950,26130
135054112,25992
135055273,25251
135056435,23616
135057597,21465
135058758,19019
135059920,16542
135061085,14256
135062243,12281
135063403,11649
135064565,16462
135065726,24991
135066888,26232
135068050,26236
135069213,26252
135070374,26243
135071537,26186
135072695,26118
135073858,25919
135075019,24973
135076180,23224
135077342,21028
135078503,18581
135079665,16128
135080826,13891
135081989,11984
135083151,10909
135084311,14947
135085473,24045
135086634,26255
135087795,26263
135088956,26267
135090118,26258
135091279,26229
135092441,26203
135093602,26172
135094766,26121
135095927,25970
135097088,25164
135098248,23400
135099412,21110
135100572,18617
135101733,16160
135102894,13959
135104056,15168
135105218,22185
135106380,26239
135107540,26262
135108702,26262
135109863,26254
135111028,26200
135112186,26085
135113348,25800
135114510,24637
135115671,22784
135116833,20558
135117994,18156
135119155,15757
135120317,13575
135121478,11736
135122640,10319
135123803,11408
135124964,18255
135126127,26028
135127288,26262
135128449,26265
135129610,26261
135130771,26241
135131932,26209
135133093,26179
135134255,26136
135135416,26019
135136578,25364
135137739,23746
135138901,21531
135140062,19056
135141224,16574
135142390,14280
135143547,13231
135144708,17717
135145872,25446
135147031,26260
135148193,26269
135149354,26270
135150516,26250
135151677,26206
135152842,26146
135154000,26053
135155162,25686
135156323,24405
135157493,22453
135158646,20094
135159808,17596
135160970,15208
135162131,13092
135163292,11892
135164454,16188
135165616,24791
135166778,26259
135167940,26265
135169100,26261
135170263,26253
135171425,26217
135172585,26181
135173746,26134
135174907,26018
135176069,25377
135177231,23819
135178395,21664
135179553,19199
135180717,16709
135181877,14398
135183039,12534
135184200,15106
135185362,23579
135186523,26256
135187686,26264
135188846,26267
135190007,26264
135191168,26256
135192333,26246
135193493,26206
135194654,26200
135195816,26183
135196976,26160
135198138,26124
135199299,26030
135200462,25511
135201622,24001
135202784,21899
135203945,21754
135205107,25662
135206268,26249
135207430,26264
135208593,26265
135209754,26263
135210915,26245
135212076,26213
135213237,26184
135214399,26142
135215560,26044
135216722,25524
135217883,24029
135219045,21886
135220206,19442
135221368,16958
135222533,14636
135223692,13716
135224852,18520
135226014,25811
135227175,26260
135228337,26264
135229499,26261
135230660,26248
135231821,26215
135232982,26188
135234144,26144
135235307,26054
135236467,25573
135237632,24125
135238790,22019
135239952,19582
135241115,17091
135242275,14755
135243437,13065
135244602,15877
135245759,23724
135246920,26253
135248084,26263
135249243,26258
135250405,26193
135251567,24113
135252729,20199
135253891,16620
135255051,13542
135256213,11053
135257374,9202
135258537,7944
135259697,7240
135260859,7061
135262020,7325
135263182,7983
135264343,12072
135265506,21649
135266667,26244
135267828,26264
135268989,26265
135270151,26257
135271313,26220
135272475,26176
135273635,26112
135274796,25918
135275958,24981
135277121,23228
135278281,21003
135279442,18522
135280605,16066
135281766,13831
135282929,11939
135284088,12863
135285252,20148
135286416,26215
135287573,26233
135288734,26238
135289897,26234
135291059,26222
135292220,26196
135293384,26181
135294543,26178
135295704,26134
135296865,26018
135298026,25339
135299189,23655
135300351,21426
135301512,18968
135302673,16505
135303836,15295
135304996,19600
135306157,25970
135307320,26262
135308481,26265
135309643,26262
135310803,26246
135311965,26205
135313127,26165
135314289,26102
135315449,25871
135316610,24835
135317772,23007
135318935,20709
135320097,18215
135321258,15781
135322419,13591
135323581,12121
135324741,15371
135325902,23671
135327064,26251
135328226,26239
135329394,26238
135330549,26226
135331710,26186
135332872,26143
135334034,26087
135335195,25885
135336358,24940
135337519,23192
135338680,20936
135339841,18446
135341003,15992
135342164,13769
135343327,11958
135344487,13671
135345648,21129
135346811,26235
135347973,26263
135349134,26263
135350296,26257
135351455,26220
135352618,26181
135353778,26128
135354941,25990
135356102,25258
135357264,23641
135358425,21472
135359586,19003
135360747,16519
135361911,14230
135363072,12262
135364233,12951
135365399,19723
135366556,26199
135367717,26263
135368878,26265
135370040,26261
135371201,26244
135372362,26216
135373528,26190
135374687,26153
135375847,26086
135377009,25767
135378170,24517
135379332,22497
135380494,20101
135381656,17603
135382818,15208
135383979,14092
135385142,18654
135386301,25796
135387462,26260
135388626,26264
135389786,26265
135390948,26252
135392108,26217
135393270,26190
135394432,26150
135395593,26069
135396754,25685
135397916,24344
135399077,22284
135400238,19861
135401400,17358
135402561,14994
135403725,13295
135404885,16430
135406047,24379
135407209,26254
135408369,26263
135409533,26259
135410692,26232
135411854,26076
135413015,25039
135414177,23005
135415339,20663
135416500,18239
135417661,15894
135418824,13735
135419984,11861
135421147,10398
135422307,9384
135423470,8911
135424630,12412
135425793,21983
135426953,26224
135428114,26236
135429277,26235
135430438,26237
135431601,26235
135432762,26236
135433924,26218
135435084,26200
135436245,26173
135437407,26123
135438569,25952
135439730,25000
135440891,23159
135442055,20877
135443215,18413
135444375,18005
135445537,23037
135446701,26232
135447861,26261
135449023,26264
135450184,26261
135451344,26227
135452507,26162
135453668,26068
135454829,25626
135455990,24260
135457154,22303
135458314,20003
135459475,17527
135460639,15144
135461799,13037
135462962,11291
135464121,10916
135465283,15890
135466445,24748
135467605,26258
135468768,26264
135469928,26255
135471094,26204
135472251,25756
135473413,23937
135474576,21558
135475738,19050
135476899,16607
135478059,14364
135479221,12375
135480383,10753
135481544,9582
135482706,8867
135483869,9002
135485030,13936
135486190,23671
135487354,26259
135488513,26264
135489676,26265
135490836,26256
135491998,26223
135493159,26196
135494322,26159
135495482,26096
135496644,25832
135497805,24699
135498967,22767
135500129,20398
135501291,17899
135502453,15490
135503613,13419
135504775,15098
135505935,22711
135507098,26244
135508258,26263
135509420,26265
135510581,26262
135511743,26240
135512906,26214
135514067,26188
135515229,26152
135516394,26069
135517551,25693
135518712,24358
135519873,22295
135521035,19888
135522197,17400
135523362,15061
135524520,15713
135525682,22745
135526843,26247
135528006,26265
135529168,26265
135530327,26262
135531490,26246
135532651,26224
135533812,26203
135534974,26173
135536135,26125
135537297,25983
135538458,25172
135539619,23399
135540783,21127
135541943,18656
135543105,16199
135544265,15178
135545428,20187
135546588,26151
135547751,26263
135548912,26264
135550073,26264
135551236,26253
135552396,26227
135553557,26204
135554719,26174
135555881,26129
135557042,26006
135558205,25306
135559365,23598
135560530,21350
135561688,18878
135562850,16417
135564012,14517
135565173,17071
135566334,24302
135567496,26223
135568659,26266
135569819,26266
135570981,26252
135572142,26202
135573304,26144
135574466,26032
135575627,25451
135576788,23956
135577949,21895
135579113,19512
135580273,17031
135581435,14699
135582597,12663
135583758,11098
135584919,13730
135586081,22597
135587242,26252
135588403,26264
135589564,26265
135590726,26262
135591888,26247
135593050,26232
135594211,26217
135595372,26196
135596536,26163
135597695,26105
135598857,25849
135600018,24671
135601180,22710
135602341,20364
135603503,17869
135604664,17413
135605825,22380
135606989,26199
135608150,26234
135609310,26235
135610472,26223
135611634,26146
135612795,25552
135613957,23689
135615118,21388
135616280,18951
