timestamp_us,channel_0
1787500967374662,98
62756986,25347
62758147,23789
62759309,21736
62760470,19369
62761632,16882
62762795,14533
62763955,12490
62765117,10858
62766278,9664
62767440,11075
62768601,19225
62769762,26234
62770924,26264
62772085,26265
62773247,26242
62774409,26085
62775570,25073
62776733,23065
62777895,20739
62779055,18319
62780217,15941
62781378,13716
62782539,11798
62783700,10309
62784862,9294
62786023,8720
62787184,9779
62788347,16649
62789510,25941
62790674,26263
62791832,26233
62792994,26230
62794155,26163
62795315,26013
62796478,25314
62797639,23696
62798800,21610
62799961,19262
62801125,16818
62802285,14489
62803446,12460
62804608,10836
62805771,9674
62806931,9498
62808092,14477
62809254,24793
62810415,26263
62811577,26264
62812738,26258
62813900,26179
62815061,25419
62816223,23403
62817392,21024
62818547,18548
62819708,16150
62820869,13915
62822030,11953
62823192,10407
62824353,9332
62825514,8730
62826676,8780
62827838,12715
62828999,23120
62830162,26258
62831324,26265
62832485,26263
62833646,26233
62834806,26149
62835969,25965
62837131,25080
62838291,23367
62839453,21212
62840615,18811
62841776,16349
62842939,14065
62844100,12106
62845262,10571
62846424,9511
62847584,10927
62848745,18687
62849907,26215
62851068,26263
62852230,26262
62853395,26232
62854553,25579
62855714,23113
62856876,20362
62858038,17648
62859198,15148
62860361,12948
62861527,11088
62862683,9677
62863845,8760
62865006,8320
62866168,8279
62867330,9957
62868491,17544
62869653,26143
62870816,26264
62871977,26264
62873138,26254
62874300,26174
62875461,25895
62876622,24663
62877782,22722
62878945,20463
62880106,18078
62881267,15677
62882429,13471
62883590,11609
62884752,10192
62885915,9248
62887076,9271
62888241,14117
62889398,24464
62890560,26235
62891722,26237
62892882,26228
62894045,26163
62895206,25737
62896367,24147
62897533,21994
62898692,19626
62899852,17230
62901014,14912
62902175,12816
62903338,11089
62904498,9818
62905659,9019
62906821,8824
62907982,12182
62909146,22246
62910306,26253
62911468,26264
62912630,26259
62913790,26171
62914952,24157
62916113,20837
62917276,17700
62918437,14876
62919597,12486
62920759,10546
62921920,9091
62923082,8167
62924243,7756
62925405,7802
62926568,8222
62927729,11142
62928890,20351
62930051,26242
62931213,26265
62932374,26264
62933540,26227
62934698,26014
62935859,24772
62937022,22639
62938184,20244
62939344,17797
62940510,15448
62941667,13278
62942828,11431
62943991,10033
62945152,9111
62946314,8628
62947474,10026
62948636,17554
62949799,26145
62950960,26265
62952121,26262
62953282,26242
62954445,25611
62955605,22585
