timestamp_us,channel_0
54734402,8913
54735564,13430
54736723,23950
54737886,26262
54739047,26263
54740209,26256
54741370,26090
54742534,23712
54743693,20600
54744854,17603
54746017,14900
54747177,12607
54748340,10720
54749500,9284
54750662,8365
54751824,7951
54752986,7977
54754146,8461
54755307,11905
54756469,21672
54757631,26251
54758792,26264
54759954,26258
54761116,26095
54762277,22875
54763440,18783
54764605,15214
54765763,12230
54766924,9905
54768085,8236
54769246,7176
54770408,6709
54771576,6777
54772731,7274
54773893,8079
54775055,10814
54776217,19351
54777379,26235
54778540,26263
54779700,26263
54780863,26247
54782023,26117
54783185,25372
54784346,23565
54785507,21346
54786668,18961
54787832,16556
54788993,14268
54790155,12265
54791315,10669
54792477,9540
54793638,8864
54794799,9728
54795961,16299
54797124,25832
54798284,26261
54799446,26263
54800607,26252
54801769,26165
54802931,25733
54804092,24211
54805253,22136
54806414,19814
54807577,17434
54808737,15093
54809900,12970
54811065,11218
54812223,9920
54813391,9092
54814546,9291
54815708,14399
54816869,24792
54818032,26233
54819192,26266
54820353,26262
54821514,26211
54822676,26036
54823837,25197
54824999,23459
54826160,21306
54827322,18960
54828486,16549
54829645,14255
54830807,12264
54831970,10689
54833130,9577
54834291,9057
54835453,11712
54836614,21223
54837776,26246
54838937,26264
54840101,26261
54841260,26215
54842423,25715
54843585,23828
54844745,21462
54845906,18971
54847069,16544
54848230,14288
54849395,12268
54850554,10638
54851714,9479
54852875,8793
54854038,8556
54855200,10991
54856360,19988
54857527,26242
54858684,26245
54859844,26235
54861006,26207
54862167,25878
54863330,24054
54864490,21622
54865652,19070
54866816,16584
54867976,14287
54869136,12254
54870299,10611
54871460,9439
54872621,8745
54873784,8479
54874944,9704
54876106,16385
54877268,25848
54878429,26263
54879590,26263
54880753,26249
54881913,26007
54883076,24004
54884237,21315
54885399,18601
54886560,16035
54887721,13753
54888882,11763
54890044,10174
54891206,9075
54892367,8460
54893532,8281
54894692,8764
54895853,13481
54897014,23992
54898176,26257
54899337,26262
54900498,26256
54901659,26144
54902821,24572
54903982,21946
54905144,19239
54906306,16636
54907469,14294
54908630,12235
54909791,10541
54910951,9322
54912115,8595
54913275,8321
54914436,8582
54915597,12316
54916759,22487
54917921,26258
54919083,26264
54920243,26263
54921407,26241
54922567,26170
54923730,26075
54924890,25673
54926051,24356
54927213,22421
54928375,20116
54929535,17614
54930698,15196
54931859,13055
54933022,11296
