timestamp_us,channel_0
6643922,14293
6645084,14305
6646244,14329
6647409,14357
6648567,14386
6649728,14411
6650890,14433
6652051,14450
6653213,14461
6654374,14462
6655536,14457
6656697,14448
6657859,14434
6659022,14422
6660182,14413
6661343,14406
6662505,14402
6663666,14400
6664828,14404
6665989,14409
6667151,14411
6668312,14420
6669474,14429
6670635,14429
6671797,14417
6672958,14401
6674122,14384
6675282,14365
6676444,14354
6677605,14343
6678768,14331
6679928,14315
6681090,14303
6682251,14296
6683412,14292
6684574,14292
6685736,14298
6686898,14309
6688058,14315
6689221,14318
6690381,14325
6691543,14331
6692705,14331
6693865,14325
6695027,14315
6696190,14301
6697352,14286
6698513,14274
6699674,14265
6700835,14259
6701997,14257
6703159,14255
6704320,14256
6705481,14255
6706642,14261
6707804,14268
6708965,14280
6710129,14293
6711288,14305
6712451,14315
6713612,14320
6714774,14316
6715934,14307
6717096,14294
6718258,14280
6719418,14267
6720585,14265
6721742,14266
6722909,14268
6724066,14269
6725227,14269
6726394,14268
6727550,14265
6728712,14259
6729873,14245
6731034,14225
6732195,14202
6733357,14182
6734518,14168
6735680,14154
6736841,14148
6738005,14150
6739164,14157
6740328,14171
6741489,14181
6742650,14192
6743811,14203
6744972,14216
6746133,14233
6747297,14252
6748456,14261
6749618,14265
6750779,14260
6751941,14240
6753104,14212
6754263,14184
6755425,14159
6756589,14145
6757749,14136
6758910,14127
6760071,14127
6761233,14134
6762395,14146
6763556,14159
6764717,14173
6765880,14191
6767041,14213
6768203,14233
6769364,14248
6770531,14263
6771687,14278
6772848,14289
6774010,14304
6775171,14319
6776333,14330
6777494,14343
6778656,14360
6779817,14376
6780980,14387
6782142,14386
6783303,14383
6784464,14377
6785625,14369
6786786,14365
6787948,14358
6789109,14344
6790271,14323
6791432,14291
6792593,14248
6793755,14203
6794918,14158
6796079,14121
6797240,14094
6798401,14077
6799563,14064
6800724,14053
6801885,14052
6803047,14063
6804208,14085
6805370,14109
6806534,14136
6807695,14160
6808856,14178
6810016,14191
6811179,14202
6812341,14210
6813502,14213
6814663,14206
6815824,14187
6816985,14161
6818147,14140
6819309,14121
6820470,14112
6821633,14111
6822795,14113
6823955,14118
6825116,14126
6826278,14132
6827439,14135
6828601,14138
6829761,14140
6830924,14149
6832084,14159
6833247,14160
6834408,14158
6835571,14150
6836731,14138
6837893,14125
6839054,14112
6840216,14102
6841378,14091
6842539,14091
6843700,14089
6844862,14095
6846022,14100
6847186,14109
6848346,14115
6849512,14125
6850670,14127
6851831,14127
6852993,14114
6854155,14092
6855315,14064
6856481,14035
6857639,14006
6858799,13986
6859963,13967
6861125,13953
6862284,13953
6863447,13963
6864609,13979
6865769,13998
6866931,14019
6868092,14042
6869254,14064
6870414,14082
6871576,14094
6872738,14103
6873899,14106
6875062,14098
6876224,14081
6877391,14065
6878547,14053
6879708,14040
6880869,14033
6882029,14027
6883191,14020
6884352,14007
6885514,13999
6886676,14003
6887837,14013
6889000,14021
6890160,14026
6891322,14033
6892484,14042
6893645,14049
6894806,14051
6895968,14049
6897130,14046
6898291,14041
6899452,14037
6900614,14032
