timestamp_us,channel_0
57785985,13631
57787148,13642
57788309,13648
57789472,13646
57790633,13640
57791795,13634
57792955,13621
57794116,13604
57795277,13583
57796440,13569
57797602,13567
57798762,13565
57799924,13571
57801085,13581
57802247,13590
57803410,13600
57804571,13613
57805732,13620
57806893,13618
57808054,13608
57809217,13596
57810377,13582
57811543,13567
57812700,13551
57813861,13543
57815023,13528
57816186,13509
57817346,13494
57818509,13482
57819670,13484
57820831,13495
57821993,13511
57823155,13527
57824315,13543
57825477,13558
57826639,13575
57827799,13587
57828963,13592
57830124,13591
57831284,13590
57832447,13573
57833609,13557
57834770,13540
57835930,13527
57837092,13517
57838255,13522
57839415,13536
57840577,13554
57841737,13570
57842899,13586
57844060,13599
57845222,13611
57846391,13619
57847545,13625
57848707,13620
57849869,13610
57851029,13594
57852192,13576
57853353,13559
57854514,13543
57855676,13535
57856841,13531
57857999,13533
57859160,13541
57860322,13557
57861485,13568
57862645,13573
57863814,13583
57864968,13590
57866130,13595
57867291,13592
57868454,13581
57869614,13571
57870775,13564
57871939,13560
57873100,13560
57874260,13563
57875423,13552
57876584,13537
57877745,13520
57878908,13511
57880067,13509
57881229,13517
57882394,13532
57883553,13554
57884714,13578
57885876,13600
57887038,13622
57888200,13629
57889359,13618
57890521,13601
57891683,13585
57892845,13570
57894006,13559
57895167,13552
57896329,13548
57897490,13551
57898651,13559
57899813,13568
57900975,13579
57902137,13589
57903298,13603
57904460,13614
57905621,13620
57906783,13616
57907944,13601
57909107,13583
57910267,13564
57911428,13547
57912590,13534
57913753,13526
57914914,13523
57916075,13531
57917237,13542
57918398,13560
57919559,13577
57920720,13599
57921882,13624
57923043,13652
57924206,13676
57925366,13691
57926532,13695
57927691,13694
57928852,13685
57930013,13671
57931175,13656
57932336,13641
57933497,13626
57934658,13610
57935820,13597
57936981,13584
57938143,13575
57939308,13571
57940466,13577
57941628,13595
57942790,13615
57943951,13634
57945112,13651
57946274,13657
57947436,13652
57948597,13641
57949758,13626
57950920,13610
57952083,13589
57953244,13573
57954406,13564
57955567,13564
57956729,13568
57957889,13571
57959050,13571
57960213,13574
57961373,13575
57962537,13577
57963697,13584
57964857,13597
57966021,13613
57967183,13625
57968342,13635
57969505,13638
57970666,13638
57971828,13638
57972988,13633
57974151,13627
57975311,13620
57976473,13614
57977634,13612
57978795,13609
57979959,13611
57981120,13618
57982280,13638
57983442,13665
57984603,13688
57985765,13700
57986930,13700
57988089,13695
57989249,13684
57990411,13668
57991572,13649
57992735,13622
57993900,13596
57995058,13568
57996218,13540
57997382,13523
57998543,13515
57999704,13518
58000864,13527
58002026,13536
58003187,13553
58004349,13576
58005510,13594
58006672,13613
58007834,13634
58008996,13648
58010158,13659
58011320,13663
58012479,13666
58013642,13661
58014802,13651
58015964,13636
58017126,13626
58018288,13615
58019448,13606
58020611,13601
58021772,13603
58022934,13609
58024095,13618
58025258,13633
58026419,13652
58027580,13667
58028740,13673
58029902,13658
58031064,13630
58032228,13601
58033394,13569
58034548,13547
58035711,13527
58036873,13516
58038034,13514
58039196,13512
58040357,13515
58041517,13522
58042678,13532
58043842,13554
58045002,13578
58046164,13603
58047325,13618
58048487,13619
58049647,13604
58050811,13580
58051972,13551
58053134,13516
58054293,13488
58055456,13462
58056617,13433
58057778,13408
58058940,13388
58060103,13378
58061263,13376
58062424,13389
58063585,13413
58064749,13442
58065910,13468
58067071,13491
58068233,13510
58069398,13521
58070556,13512
58071722,13496
58072877,13491
58074046,13490
58075201,13486
58076362,13469
58077529,13452
58078685,13431
58079848,13414
58081009,13402
58082170,13396
58083332,13398
58084493,13406
58085654,13416
58086817,13426
58087977,13434
58089139,13437
58090301,13436
58091462,13429
58092625,13428
58093786,13423
58094947,13423
58096108,13417
58097269,13407
58098431,13394
58099592,13383
58100754,13387
58101915,13412
58103079,13448
58104238,13480
58105402,13506
58106563,13528
58107724,13548
58108886,13568
58110046,13591
58111207,13606
58112370,13603
58113533,13579
58114692,13541
58115854,13497
58117017,13456
58118177,13427
58119339,13413
58120501,13419
58121663,13438
58122823,13450
58123985,13470
58125146,13501
58126309,13530
58127469,13551
58128630,13570
58129791,13584
58130955,13590
58132116,13582
58133276,13565
58134439,13548
58135601,13506
58136762,13440
58137922,13389
58139084,13379
58140245,13397
58141407,13437
58142568,13474
58143729,13503
58144891,13524
58146053,13540
58147214,13548
58148376,13550
58149540,13541
58150699,13533
58151860,13537
58153021,13551
58154183,13559
