timestamp_us,channel_0
6712526,13203
6713688,13186
6714850,13169
6716011,13148
6717172,13125
6718333,13105
6719495,13089
6720659,13085
6721819,13094
6722980,13111
6724141,13135
6725303,13157
6726464,13173
6727626,13180
6728787,13175
6729948,13162
6731110,13142
6732272,13119
6733433,13097
6734596,13081
6735759,13070
6736918,13061
6738079,13058
6739242,13067
6740402,13088
6741565,13120
6742726,13161
6743889,13209
6745048,13255
6746209,13300
6747372,13340
6748536,13369
6749695,13388
6750856,13393
6752017,13388
6753179,13373
6754341,13354
6755501,13326
6756663,13297
6757825,13263
6758986,13233
6760149,13209
6761309,13190
6762471,13189
6763634,13205
6764795,13241
6765955,13292
6767116,13349
6768280,13406
6769439,13450
6770601,13475
6771763,13478
6772924,13459
6774087,13424
6775247,13377
6776409,13326
6777576,13270
6778738,13215
6779893,13164
6781054,13121
6782216,13092
6783377,13078
6784540,13077
6785704,13087
6786862,13107
6788024,13131
6789185,13156
6790347,13183
6791509,13206
6792671,13221
6793832,13230
6794993,13226
6796155,13213
6797317,13192
6798477,13161
6799638,13124
6800800,13093
6801961,13068
6803124,13052
6804284,13046
6805447,13051
6806609,13065
6807770,13084
6808930,13106
6810093,13125
6811254,13138
6812415,13140
6813576,13133
6814738,13121
6815899,13104
6817063,13077
6818223,13046
6819385,13011
6820546,12982
6821708,12964
6822869,12961
6824031,12975
6825193,13005
6826355,13048
6827515,13094
6828676,13134
6829837,13162
6831001,13178
6832162,13183
6833324,13179
6834484,13168
6835647,13150
6836807,13129
6837968,13105
6839129,13071
6840292,13039
6841452,13021
6842614,13014
6843775,13015
6844937,13031
6846100,13053
6847261,13073
6848423,13092
6849584,13115
6850746,13131
6851905,13139
6853067,13138
6854229,13127
6855396,13103
6856552,13070
6857713,13034
6858874,13002
6860036,12975
6861197,12955
6862359,12948
6863522,12958
6864683,12977
6865849,13000
6867005,13025
6868168,13054
6869329,13085
6870489,13114
6871651,13142
6872813,13163
6873976,13173
6875137,13173
6876298,13163
6877460,13147
6878621,13131
6879782,13113
6880943,13096
6882105,13069
6883266,13051
6884427,13045
6885589,13047
6886750,13057
6887914,13073
6889075,13088
6890237,13099
6891399,13111
6892559,13118
6893721,13124
6894881,13122
6896043,13118
6897205,13108
6898366,13094
6899531,13075
6900688,13055
6901852,13037
6903013,13025
6904174,13021
6905335,13026
6906497,13036
6907658,13050
6908819,13065
6909980,13071
6911142,13075
6912303,13072
6913464,13062
6914626,13042
6915791,13017
6916949,12994
6918112,12975
6919274,12963
6920434,12959
6921597,12960
6922759,12971
6923919,12992
6925080,13021
6926241,13056
6927403,13090
6928564,13125
6929726,13158
6930888,13186
6932050,13199
6933212,13202
6934374,13192
6935537,13169
6936696,13135
6937856,13095
6939018,13048
6940180,13002
6941341,12965
6942502,12939
6943664,12927
6944825,12925
6945988,12934
6947148,12951
6948309,12976
6949472,13002
6950633,13023
6951795,13039
6952955,13048
6954117,13052
6955278,13051
6956441,13048
6957602,13039
6958765,13021
6959925,13001
6961086,12990
6962248,12992
6963410,13010
6964571,13041
6965733,13079
6966894,13117
6968056,13147
6969217,13167
6970380,13181
6971539,13189
6972701,13192
6973863,13188
6975026,13171
6976186,13141
6977347,13101
6978510,13063
6979671,13025
6980831,12992
6981993,12967
6983155,12964
6984317,12982
6985477,13011
6986639,13051
6987800,13092
6988962,13134
6990124,13168
6991285,13189
6992447,13200
6993608,13204
6994770,13199
6995930,13187
6997092,13171
6998254,13152
6999415,13136
7000576,13121
7001738,13107
7002902,13102
7004061,13108
7005223,13126
7006385,13153
7007547,13186
7008708,13220
7009869,13243
7011031,13256
7012191,13258
7013354,13247
7014515,13226
7015676,13199
7016837,13164
7018000,13124
7019162,13086
7020323,13052
7021484,13027
7022647,13013
7023807,13016
7024968,13033
7026129,13060
7027292,13092
7028452,13126
7029614,13158
7030775,13181
7031937,13193
7033099,13190
7034261,13181
7035422,13167
7036583,13150
7037745,13133
7038906,13114
7040068,13094
7041229,13082
7042396,13073
7043551,13074
7044713,13086
7045874,13103
7047037,13124
7048208,13147
7049358,13164
7050521,13171
7051684,13164
7052844,13149
7054006,13134
7055167,13123
7056329,13115
7057489,13111
7058652,13110
7059812,13111
7060976,13112
7062135,13117
7063298,13123
7064460,13134
7065621,13149
7066782,13167
7067943,13184
7069105,13197
7070265,13203
7071427,13203
7072588,13202
7073750,13199
7074911,13193
7076075,13182
7077236,13167
7078400,13142
7079559,13117
7080719,13101
7081880,13096
7083042,13103
7084204,13111
7085365,13125
7086526,13141
7087688,13156
7088849,13166
7090010,13170
7091174,13167
7092340,13154
7093495,13135
7094659,13118
7095819,13099
7096979,13074
7098141,13049
7099307,13032
7100464,13026
7101626,13027
7102787,13036
7103948,13049
7105112,13069
7106272,13086
7107435,13109
7108596,13136
7109758,13164
7110918,13189
7112079,13201
7113240,13202
7114402,13196
7115563,13183
7116725,13164
7117886,13142
7119048,13117
7120209,13088
7121371,13065
7122536,13047
7123695,13031
7124857,13020
7126017,13018
7127179,13026
7128341,13039
7129501,13055
7130663,13072
7131824,13087
7132986,13098
7134147,13103
7135308,13103
7136469,13099
7137631,13088
7138796,13074
7139954,13063
7141116,13057
7142277,13048
7143439,13043
7144608,13049
7145762,13060
7146923,13080
7148085,13100
7149246,13117
7150410,13125
7151569,13123
7152731,13116
7153892,13104
7155054,13087
7156215,13062
7157376,13028
7158539,12992
7159699,12971
7160861,12956
7162022,12953
7163184,12968
7164345,12997
7165508,13035
7166670,13059
7167830,13062
7168992,13061
7170154,13061
7171315,13059
7172477,13060
7173638,13059
7174799,13066
7175961,13077
7177121,13083
7178283,13095
7179444,13097
7180606,13084
7181769,13069
7182930,13071
7184091,13086
7185253,13108
7186417,13137
7187576,13174
7188742,13220
7189898,13268
7191060,13304
7192221,13306
7193383,13298
7194544,13292
7195705,13268
7196869,13224
7198030,13177
7199190,13140
7200353,13106
7201513,13078
7202674,13069
7203837,13079
7204997,13117
7206159,13171
7207320,13225
7208483,13264
7209643,13278
7210805,13299
7211967,13305
7213129,13271
7214291,13218
7215452,13158
7216614,13109
7217773,13086
7218935,13070
7220096,13042
7221258,13006
7222419,13002
7223581,13060
7224742,13179
7225909,13371
7227067,13629
7228239,13849
7229395,13943
7230551,13955
7231712,13906
7232875,13819
7234035,13720
7235196,13624
7236358,13528
7237521,13450
7238681,13400
7239844,13367
7241005,13323
7242166,13254
7243327,13186
7244490,13177
7245650,13201
7246811,13228
7247973,13288
7249133,13397
7250296,13525
7251456,13598
7252618,13590
7253780,13517
7254943,13423
7256104,13334
7257264,13263
7258427,13248
7259588,13272
7260749,13317
7261910,13390
7263072,13478
7264233,13528
7265399,13555
7266556,13574
7267717,13597
7268879,13678
7270042,13866
7271206,14116
7272363,14341
7273530,14453
7274686,14423
7275849,14307
7277010,14289
7278175,14349
7279332,14323
7280494,14144
7281655,13865
7282817,13614
7283980,13449
7285141,13347
7286302,13285
7287463,13193
7288625,13174
7289787,13279
7290947,13454
7292109,13584
7293272,13651
7294432,13660
7295594,13639
7296754,13638
7297916,13554
7299079,13382
7300240,13213
7301402,13091
7302563,13014
7303725,12972
7304885,12967
7306046,12982
7307208,13024
7308371,13100
7309534,13201
7310692,13300
7311854,13391
7313015,13491
7314177,13625
7315338,13783
7316501,13865
7317662,13846
7318823,13817
7319985,13837
7321147,13901
7322314,14018
7323469,14222
7324630,14412
7325792,14458
7326955,14430
7328116,14461
7329278,14392
7330439,14068
7331600,13643
7332762,13261
7333923,12941
7335084,12697
7336245,12586
7337407,12542
7338569,12528
7339729,12511
7340891,12539
7342053,12655
7343215,12876
7344376,13120
7345540,13279
7346700,13341
7347860,13339
7349022,13319
7350183,13285
7351346,13195
7352506,13114
7353667,13185
7354829,13308
7355990,13324
7357152,13212
7358313,13079
7359476,12944
7360638,12825
7361799,12750
7362959,12719
7364120,12715
7365282,12800
7366444,12968
7367607,13110
7368767,13232
7369931,13324
7371094,13349
7372252,13325
7373414,13297
7374575,13307
7375737,13279
7376897,13231
7378059,13291
7379221,13517
7380382,13774
7381543,13886
7382705,13902
7383866,13806
7385029,13600
7386189,13293
7387352,12957
7388514,12716
7389675,12576
7390835,12499
7391997,12500
7393157,12632
7394319,12875
7395481,13052
7396643,13183
7397804,13232
7398965,13239
7400129,13313
7401288,13389
7402452,13331
7403613,13125
7404774,12896
7405939,12662
7407096,12407
7408257,12204
7409418,12041
7410580,11920
7411742,11954
7412906,12101
7414065,12305
7415228,12524
7416395,12749
7417549,12982
7418712,13218
7419873,13375
7421034,13477
7422195,13511
7423356,13476
7424518,13492
7425680,13650
7426841,13912
7428004,14144
7429164,14132
7430325,13858
7431487,13464
7432650,13098
7433811,12814
7434972,12648
7436132,12506
7437295,12328
7438456,12174
7439617,12074
7440778,12044
7441940,12052
7443103,12059
7444263,12113
7445424,12274
7446586,12438
7447749,12643
7448910,12829
7450071,12962
7451238,13166
7452399,13508
7453555,13812
7454718,13871
7455879,13714
7457040,13502
7458201,13321
7459363,13183
7460526,13048
7461687,12868
7462848,12658
7464010,12444
7465171,12262
7466332,12144
7467493,12097
7468655,12150
7469816,12313
7470977,12479
7472139,12553
7473302,12704
7474462,12889
7475625,12946
7476787,12892
7477947,12901
7479108,12970
7480269,13075
7481431,13110
7482592,13037
7483754,12927
7484915,12826
7486077,12807
7487238,12937
7488400,13125
7489561,13196
7490724,13109
7491885,12947
7493046,12793
7494209,12737
7495368,12770
7496534,12834
7497692,12872
7498859,12895
7500019,12925
7501175,12975
7502337,13033
7503499,13019
7504662,12973
7505823,12915
7506990,12840
7508146,12773
7509307,12717
7510468,12630
7511629,12519
7512792,12446
7513952,12417
7515114,12414
7516277,12442
7517439,12478
7518600,12500
7519760,12520
7520922,12557
7522083,12614
7523245,12678
7524406,12736
7525568,12741
7526729,12736
7527890,12772
7529052,12882
7530213,12967
7531375,12935
7532540,12859
7533698,12785
7534860,12700
7536022,12597
7537182,12585
7538345,12607
7539504,12637
7540667,12618
7541828,12597
7542989,12644
7544151,12729
7545313,12818
7546475,12881
7547635,12903
7548802,12933
7549959,13022
7551120,13117
7552281,13155
7553443,13180
